id,fragment,book,chapter,first_verse,suffix,tags,entire,active,user_id,score,last_reviewed
570,caught by Him / to catch,Philippians,3,12,"","[""Caught""]","Not that I have already attained, or am already perfected; but I press on, that I may lay hold of that for which Christ Jesus has also laid hold of me.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,11,2024-03-18 21:10:01.51
705,not of the “world”,1 John,4,5,-6,[],"They are of the world. Therefore they speak as of the world, and the world hears them. We are of God. He who knows God hears us; he who is not of God does not hear us. By this we know the spirit of truth and the spirit of error.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,12,2024-03-20 12:42:01.137
353,I am your shield,Genesis,15,1,"",[],"After these things the word of the LORD came to Abram in a vision, saying, “Do not be afraid, Abram. I am your shield, your exceedingly great reward.”",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,63,2024-02-22 18:38:26.552
709,the blood of His Son,1 John,1,7,"","[""Cleansed""]","But if we walk in the light as He is in the light, we have fellowship with one another, and the blood of Jesus Christ His Son cleanses us from all sin.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,12,2024-03-09 20:08:57.445
706,His name is Jealous ,Exodus,34,19,"","[""Jealous ""]","for you shall worship no other god, for the LORD, whose name is Jealous, is a jealous God",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,4,2024-03-09 23:50:56.372
576,weeping for night / joy in morning,Psalm,30,5,"",[],"For His anger is but for a moment,
His favor is for life;
Weeping may endure for a night,
But joy comes in the morning.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,13,2024-03-15 22:15:50.145
306,iron sharpens iron,Proverbs,27,17,"","[""Brotherhood""]","As iron sharpens iron, so a man sharpens the face of his brother.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,67,2024-02-09 22:49:31.079
340,bow remained steady,Genesis,49,24,"","[""Fighting""]","Yet His bow remained steady and his arms and hands were made strong and active by the hands of the mighty God of Jacob.  From there is the shepherd, the stone of Israel.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,68,2024-02-21 22:10:56.828
339,never be put to shame,Romans,10,11,"","[""""]",Whoever believes in Him will never be put to shame.,t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,67,2024-03-18 21:20:35.165
707,King’s heart ,Proverbs,21,1,"",[],"The king’s heart is in the hand of the LORD, 
Like the rivers of water;
He turns it wherever He wishes.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,17,2024-03-18 00:04:04.414
300,hands for war / fingers for battle,Psalm,144,1,"","[""Fighting""]","Blessed by the Lord, my Rock who trains my hands for war and my fingers for battle.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,65,2024-03-04 13:08:19.526
772,before the dawning of the morning,Psalm,119,147,"",[],"I rise before the dawning of the morning,
And cry for help;
I hope in Your word.I’m ",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,2,2024-03-08 23:00:35.427
708,freed for freedom,Galatians,5,1,"","[""Debt"",""Freedom""]","Stand fast therefore in the liberty by which Christ has made us free, and do not be entangled again with a yoke of bondage.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,18,2024-03-18 20:36:21.918
571,abide -> ask -> receive ,John,15,7,"",[],"If you abide in Me, and My words abide in you, you will ask what you desire, and it shall be done for you.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,19,2024-03-20 12:52:27.241
770,my ways are higher,Isaiah,55,9,"",[],"For as the heavens are higher than the earth,
So are My ways higher than your ways,
And My thoughts than your thoughts.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,1,2024-03-02 21:09:16.163
531,many peaked mountains envy,Psalm,68,16,"",[],"Why do you fume with envy, you mountains of many peaks?
This is the mountain which God desires to dwell in;
Yes, the LORD will dwell in it forever.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,11,2024-03-08 23:00:45.733
249,poor pitiable blind and naked,Revelation,3,17,"","[""Debt""]","You say ""I am rich and have become wealthy and have need of nothing"" and do not know that you are poor pitiable blind and naked.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,127,2024-01-17 19:57:17.855
773,long before daylight,Mark,1,35,"",[],"Now in the morning, having risen a long while before daylight, He went out and departed to a solitary place; and there He prayed.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,12,2024-03-19 11:39:48.995
251,yoke is easy,Matthew,11,30,"","[""""]",For my yoke is easy and my burden is light,t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,82,2024-02-27 22:03:42.104
774,good soldier ,2 Timothy,2,3,"",[],You therefore must endure hardship as a good soldier of Jesus Christ.,t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,2,2024-03-18 11:30:11.228
534,heart sick / tree of life,Proverbs,13,12,"",[],"Hope deferred makes the heart sick,
But when the desire comes, it is a tree of life.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,14,2024-03-19 21:29:48.225
771,i can do all things,Philippians,4,13,"",[],I can do all things through Christ who strengthens me.,t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,13,2024-03-15 22:02:14.066
710,hunt for the prize / Phi,Philippians,3,14,"","[""Competition "",""Prize""]",I press toward the goal for the prize of the upward call of God in Christ Jesus.,t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,18,2024-03-20 12:55:25.828
301,lion's cub,Genesis,49,8,-9,"[""Brotherhood"",""Fighting""]","Judah, your bothers shall praise you.  Your hand shall be on the neck of your enemies.  Your father's sons shall bow down before you.  Judah is a lion's cub, with the prey my son you have gone up.  He stooped down, he crouched as a lion, and as a lioness -- who dares rouse him?",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,49,2024-03-11 21:58:26.602
711,compete according the rules,2 Timothy,2,5,"","[""Competition "",""Training""]","And also if anyone competes in athletics, he is not crowned unless he competes according to the rules.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,9,2024-03-09 00:13:40.641
315,philosophy and empty deceit,Colossians,2,8,"","[""""]","Beware lest anyone cheat you through philosophy and empty deceit, according to the traditions of men, according to the basic principles of the world, and not according to Christ.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,67,2024-03-06 15:15:44.47
436,restorer of the breach,Isaiah,58,12,"",[],"Those from among you
Shall build the old waste places;
You shall raise up the foundations of many generations;
And you shall be called the Repairer of the Breach,
The Restorer of Streets to Dwell In.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,27,2024-03-18 21:23:07.042
284,a straight way,Psalm,107,7,"","[""""]",He led them by a straight way until they reached a city to dwell in.,t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,68,2024-03-19 21:30:16.916
489,live by faith / Heb,Hebrews,10,38,"",[],"Now the just shall live by faith;
But if anyone draws back,
My soul has no pleasure in him.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,6,2024-03-11 12:42:10.135
572,eyes on the prize,Philippians,3,13,"","[""No Regrets "",""Prize""]","Brethren, I do not count myself to have apprehended; but one thing I do, forgetting those things which are behind and reaching forward to those things which are ahead,",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,2,2024-03-11 12:51:11.792
573,eyes of fire ,Revelation,19,12,"",[],"His eyes were like a flame of fire, and on His head were many crowns. He had a name written that no one knew except Himself.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,11,2024-03-12 21:11:20.18
575,name above all names,Philippians,2,9,"","[""Name""]","Therefore God also has highly exalted Him and given Him the name which is above every name,",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,14,2024-03-02 21:17:19.525
443,discipline = Father's delight / NT,Hebrews,12,6,"",[],"For whom the LORD loves He chastens,
And scourges every son whom He receives. NT",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,11,2024-02-20 22:15:27.735
437,God does not change His mind,Numbers,23,19,"","[""Integrity""]","God is not a man, that He should lie,
Nor a son of man, that He should repent.
Has He said, and will He not do?
Or has He spoken, and will He not make it good?",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,13,2024-03-20 01:44:57.681
396,threshing sledge,Isaiah,41,15,"",[],"Behold, I will make you into a new threshing sledge with sharp teeth; You shall thresh the mountains and beat them small! And make the hills like chaff.",t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,29,2024-03-11 22:01:48.776
281,shod your feet,Ephesians,6,15,"","[""""]",Having shod your feet with the preparation of the gospel of peace,t,user_2XmR3B2XF3bZxjpFF4TL7KIPVP3,67,2024-02-25 20:42:19.562
